,DOIs,first_author,last_name,first_name
0,10.1371/journal.pcbi.1004668,Blischak J.,Blischak,J.
1,10.21105/joss.01035,Sparks Adam H.,Sparks,Adam H.
2,10.21105/joss.01006,Granger Nicolas,Granger,Nicolas
3,10.12688/f1000research.18866.2,Thang,Thang,
4,10.1186/s12859-019-3171-0,Chen Danze,Chen,Danze
